Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
12/31/2015,AREXIM,8,1,,,1,2,2,,2,1,,,57.98,0.017247327,37848778,58966521,-6309033,65275554,16.67,16.67,0,99698168,71372588,28325580,30590872,58966521,47225743,47225743,0,-1778687,-2,-7,6845515,5585084,1260431,778858,195289,583569,237,1841815,4317299,-230025,4396669,0,150655,1929342,-1778687,45161097,52783439,1753632,1.01838418,0.981947697,3056868.00,4148339.00
12/31/2015,ArmSwiss,1,,,,,,,,,,,,8.81,0.113507378,3401184,37463288,-1164364,38627652,34.23,34.23,0,85261260,67019174,18242086,8752800,37460152,38283282,43197758,4914476,1863313,2,10,8350512,4923291,3427221,201892,66620,135272,2714,114801,4009705,708224,867442,0,2434039,482886,1951153,46138937,39303607,44912,0.216335616,4.622447374,582484.00,29939510.00
12/31/2015,Artsakh,7,,,,,,,,,,,15,9.36,0.106837607,6181431,63881155,-2130057,66011212,34.46,34.46,0,93998208,82981857,11016351,11061150,63510814,50079670,50079670,0,-4174349,-5,-38,10004361,6651134,3353227,501660,16225,485435,1194,277251,4544684,5932436,2827258,0,-4215010,0,-4215010,45566910,49052369,51339,0.622102219,1.607452874,1191457.00,7938352.00
12/31/2015,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,4.35,0.229885057,12245495,274461557,-6942418,281403975,56.69,56.69,0,400405551,351988444,48417107,17925200,274461557,204107041,258847017,54739976,2005441,1,4,38574096,26130130,12443966,2805097,706811,2098286,0,551646,17336764,4852340,8943442,0,3540982,734833,2806149,173913503,226867479,985860,0.515865706,1.938489007,4892798.00,21963475.00
12/31/2015,BTA,5,,,,,,,,1,,,,11.58,0.086355786,772865,6147219,-527482,6674701,68.25,68.25,0,14928604,9634301,5294303,6520000,6146281,3021048,3021048,0,-187363,-1,-3,1973546,913756,1059790,311387,192349,119038,0,-56785,1252886,655693,779706,0,-182513,4850,-187363,11138150,3671922,118532,0.622327969,1.606869769,193096.00,2009538.00
12/31/2015,Byblos,4,1,,,,,,,,,,,28.78,0.034746352,6281358,17954950,-3868400,21823350,61.59,61.59,0,39738302,34329963,5408339,8125100,17954950,28572000,28572000,0,-2150872,-5,-31,3169375,2687202,482173,101047,51945,49102,0,-106231,499090,1335515,1288700,0,-2125125,25747,-2150872,17153776,22551998,32528,2.582099421,0.387281757,16917.00,4118433.00
12/31/2015,Converse,14,2,1,2,1,6,3,1,3,1,,1,10.16,0.098425197,8839878,82945627,-4025331,86970958,45.54,45.54,0,158903165,138201740,20701425,7002033,82945627,111430135,111430135,0,-663583,0,-3,13458001,6961726,6496275,1887676,656310,1231366,4133,676135,9104191,2183667,5989515,0,931009,203034,-663583,66179295,91983903,2830715,0.657885473,1.520021403,2607916.00,10313106.00
12/31/2015,Econom,20,3,1,1,2,4,2,1,2,3,1,1,2.32,0.431034483,1395227,59220141,-957490,60177631,68.63,68.63,0,108395188,93395112,15000076,2333338,59175240,61973987,61973987,0,449266,0,4,9714369,5368543,4345826,1461391,319575,1141816,292,-857355,5333015,309077,4519114,-9694,514518,145731,368787,59043426,48818107,930682,0.847384453,1.180101896,987189.00,8866001.00
12/31/2015,Evoca,8,1,,,,1,,,1,,,,8.11,0.123304562,3025140,36895107,-413665,37308772,13.67,13.67,0,78010584,54143966,23866618,14400000,36748049,33120887,38427623,5306736,906653,1,4,5875759,3448694,2427065,364102,320339,43763,1916,-230691,2796607,-77554,1480072,0,1394089,327408,1066681,41791332,35875555,542108,0.529238466,1.889507404,369542.00,9077487.00
12/31/2015,HSBC,9,,,,,,,,,,,,9.37,0.106723586,16379356,169592295,-5298775,174891070,32.35,32.35,0,275405777,222369425,53036352,18434350,161206360,160484839,160484839,0,6416063,2,13,20327976,6260908,14067068,3603330,572033,3031297,0,-1096177,18353407,3012328,7199709,0,8141370,1725307,6416063,98783702,176244740,377335,0.39228188,2.549187334,4286339.00,13636501.00
12/31/2015,INECO,16,3,,,2,3,2,1,2,,,,6.5,0.153846154,10241887,154598799,-4522297,159121096,43.73,44.15,0,236402096,195636450,40765646,14545680,154638426,84710900,84710900,0,4815808,3,16,18115725,8650912,9464813,1282423,338965,943458,0,922859,12132557,2621372,4346929,-738523,5902779,1129672,4773107,105020148,130766533,830893,0.358286304,2.791063987,2667744.00,14060108.00
12/31/2015,Mellat,1,,,,,,,,,,,,3.55,0.281690141,197227,5438683,-122227,5560910,61.97,61.97,0,29408606,10139374,19269232,18100000,5438683,1446438,1446438,0,661604,2,4,1784980,183361,1601619,123929,3696,120233,0,12662,1805984,156925,578175,205172,865712,191888,673824,12351889.62,17057371.38,0,0.320144032,3.12359407,204365.00,7892849.00
12/31/2015,ProCredit,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
12/31/2015,Uni,26,3,1,2,1,2,2,1,2,3,1,2,7.42,0.134770889,8519017,110215915,-4538828,114754743,53.28,53.28,0,158139860,135430768,22709092,14167947,110181548,103611025,103611025,0,358481,0,2,18686314,13431361,5254953,2362997,284420,2078577,0,-2016077,6174857,2347929,3048069,-824,779683,286445,493238,80452744,77264044,795260,0.493625844,2.02582586,919904.00,8548621.00
12/31/2015,VTB,24,6,4,4,3,5,3,4,7,5,3,,23.46,0.042625746,46366971,184566708,-13034799,197601507,28.11,28.11,0,310192081,269279678,40912403,37775689,187218849,179359471,179359471,0,-3499611,-1,-11,34899391,20187927,14711464,3393967,1057603,2336364,3679,-4318654,14204044,8675765,8755417,0,-3227138,-238511,-2988627,150802371,162247964,2795695,0.616403117,1.622314963,-507420.00,20259527.00
3/31/2016,ABB,21,1,1,2,3,3,2,3,3,3,,7,4.66,0.214592275,10069923,210046316,-5939320,215985636,58.98,58.98,1.95,297399197,268084983,29314214,22907500,210046316,195383160,195383160,0,487337,1,7,6994000,5169929,1824071,500963,97797,403166,0,300841,2802764,1040852,1134521,0,627391,140054,487337,146574768,149813129,1011300,0.404786489,2.470438187,978693.00,10748718.00
3/31/2016,ACBA,16,5,4,3,4,4,3,5,7,4,2,,12.44,0.080385852,23504806,179972582,-9038477,189011059,38.45,38.45,2.29,279239246,221741640,57497606,30000000,179972582,125228582,125228582,0,1117743,2,8,7178693,3414029,3764664,779898,352679,427219,1269,175913,4540591,1069268,2367590,8514,1095219,-22524,1117743,146083852,132451966,703428,0.521427717,1.917811362,775927.00,17661786.00
3/31/2016,ADB,5,1,,,,,1,,2,,,1,17.79,0.056211355,7997916,42186059,-2769328,44955387,34.63,34.63,1.86,70149236,59459238,10689998,4525992,42186059,53294253,53294253,0,122009,1,5,1898129,1211553,686576,74079,24939,49140,0,56869,950072,210475,537390,0,202207,80198,122009,25257632,44727542,164062,0.565630815,1.767937626,263496.00,1432424.00
3/31/2016,Ameria,9,1,1,2,,,,,,,,1,5.35,0.186915888,17457675,320443658,-5760132,326203790,32.99,32.99,1.07,507724323,447085326,60638997,32087360,320443658,288820833,288820833,0,1195896,1,8,10076454,6670308,3406146,625347,132085,493262,0,4581,4335719,860185,1941866,0,1533668,337772,1195896,161121351,344721536,1881436,0.44787635,2.232759109,929573.00,30390176.00
3/31/2016,IDbank,8,1,,,,1,1,,1,2,,,14.84,0.067385445,9319012,60283327,-2524719,62808046,27.09,27.09,10.65,90518029,74827601,15690428,13696300,60207768,52905014,52905014,0,-1545701,-7,-38,2362803,1641207,721596,251026,20445,230581,150,-64630,919648,1721420,743929,0,-1545701,0,-1545701,38706587,51737463,73979,0.808927981,1.236203993,198052.00,5803508.00
3/31/2016,Ararat,26,3,3,3,2,4,2,1,4,2,,1,2.51,0.398406375,1716456,66738440,-1562096,68300536,91.01,91.01,1.66,130673938,107964100,22709838,6387505,66738440,53151484,56456946,3305462,176787,1,3,2564105,1431984,1132121,227737,115182,112555,0,-66408,1357870,282975,875709,0,199186,22399,176787,54616910,75430058,626970,0.644913725,1.550595004,225749.00,14700112.00
3/31/2016,AREXIM,7,1,,,1,2,2,,2,1,,,56.68,0.017642908,35716336,55544030,-7466889,63010919,20.91,20.91,15.78,102811700,77436136,25375564,30590872,55544030,51321442,51321442,0,-2950137,-12,-44,1351479,1244394,107085,192166,37466,154700,0,281426,553832,2460479,1043490,0,-2950137,0,-2950137,43264542,58189529,1357629,1.884127317,0.530749696,446747.00,5511784.00
3/31/2016,ArmSwiss,1,,,,,,,,,,,,11.08,0.090252708,4254439,37115926,-1283686,38399612,30.17,30.17,0.39,81768442,60823053,20945389,8752800,37115926,30567936,35451268,4883332,740177,4,15,2274682,1213510,1061172,36487,20171,16316,0,59808,1173274,37551,210546,0,925177,185000,740177,46112553,35573332,82557,0.179451688,5.572530474,112102.00,29752895.00
3/31/2016,Artsakh,7,,,,,,,,,,,16,9.63,0.10384216,6346681,63822577,-2112691,65935268,33.29,33.29,1.52,96084465,84248869,11835596,11061150,63822577,53710589,53710589,0,286456,1,10,2741260,1755023,986237,95435,2759,92676,0,58109,1255549,250736,718357,0,286456,0,286456,48487343,47501857,95265,0.572145731,1.747806452,269312.00,8507806.00
3/31/2016,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,5.56,0.179856115,17205445,302355415,-6874705,309230120,39.96,39.96,1.16,461150846,411278461,49872385,17925200,302355415,259831962,312581534,52749572,1126038,1,9,10875717,7729030,3146687,623582,177258,446324,0,194484,4306000,854531,2036098,0,1415371,289333,1126038,212146885,247095148,1908813,0.47285137,2.114829444,1159313.00,16730601.00
3/31/2016,BTA,5,,,,,,,,1,,,,11.6,0.086206897,655356,5074915,-574922,5649837,87.73,87.73,9.73,12040143,6736471,5303672,6520000,5074915,2681901,2681901,0,-48409,-1,-4,421504,181972,239532,79480,48411,31069,0,-20753,277833,149974,176268,0,-48409,0,-48409,8462203,3414718,163222,0.634438674,1.576196473,38301.00,1239461.00
3/31/2016,Byblos,4,,,,,,,,,,,,30.68,0.032594524,6515381,17356918,-3877986,21234904,59.52,59.52,1.4,36256043,30983245,5272798,8125100,17356918,25540520,25540520,0,-178188,-2,-13,674603,536761,137842,24362,10041,14321,0,-10382,151744,75576,254356,0,-178188,0,-178188,16332925,19881660,41458,1.676217841,0.59658117,13902.00,4202206.00
3/31/2016,Converse,14,2,2,1,1,6,3,1,3,1,,1,5.25,0.19047619,4793154,87986576,-3280415,91266991,68.44,68.44,1.61,153056092,130111224,22944866,7002033,87986576,107957791,107957791,0,147844,0,3,3434397,1650515,1783882,391012,151433,239579,1091,57982,2056151,359283,1506101,0,190767,42923,147844,67894471,83593130,1568491,0.732485601,1.36521455,272269.00,9916241.00
3/31/2016,Econom,19,3,1,1,2,4,2,1,2,3,1,1,4.15,0.240963855,2414149,57223396,-1018612,58242008,42.19,42.19,0.9,108180299,88496671,19683628,3167023,57223396,55624033,55624033,0,104495,0,3,2533782,1343865,1189917,322525,87058,235467,0,-190241,1390731,133515,1121749,0,135467,30972,104495,61057367,46323103,799829,0.806589484,1.239788046,200814.00,8728483.00
3/31/2016,Evoca,8,1,,,,1,,,1,,,,4.57,0.218818381,1804938,39069654,-457017,39526671,25.32,25.32,2.78,83143994,58947356,24196638,14400000,39069654,35871459,41355033,5483574,96645,0,2,1508406,848237,660169,84745,47962,36783,0,-54141,711817,266975,314601,0,130241,33596,96645,41181355,41423526,539113,0.441968933,2.262602471,51648.00,10157532.00
3/31/2016,HSBC,9,,,,,,,,,,,,13.36,0.074850299,22950863,165409432,-6349656,171759088,27.67,27.67,3.4,256648033,202686114,53961919,18434350,165409432,148319061,148319061,0,750039,1,6,4562002,1270415,3291587,956344,119622,836722,0,-303209,4107859,1435621,1714690,0,957548,207509,750039,92486589,163816206,345238,0.417416956,2.395686101,816272.00,16516510.00
3/31/2016,INECO,15,3,,,2,3,2,1,2,,,,5.56,0.179856115,8834837,153816122,-4971436,158787558,56.27,56.27,2.35,226843144,184741424,42101720,14545680,153816122,80487016,80487016,0,1172275,2,11,6390756,3118089,3272667,376747,141524,235223,0,240487,4012307,933230,1520518,0,1558559,386284,1172275,102015564,124550363,277217,0.378963524,2.638776391,739640.00,16780990.00
3/31/2016,Mellat,1,,,,,,,,,,,,4.86,0.205761317,300000,5995895,-175090,6170985,58.36,58.36,7.16,29673816,10322900,19350916,18100000,5995895,1352517,1352517,0,83787,1,2,531551,22894,508657,10536,1147,9389,0,3122,523884,105012,162174,124538,132160,48373,83787,20269614,9330466,73736,0.309560895,3.230382184,15227.00,8629279.00
3/31/2016,ProCredit,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
3/31/2016,Uni,26,3,1,2,1,2,2,1,2,3,1,2,7.81,0.128040973,9505251,117010730,-4737372,121748102,49.84,49.84,2.82,169657838,146486879,23170959,14167948,114600648,124727331,124727331,0,211867,1,4,4772118,3329570,1442548,859491,70601,788890,0,-481777,1862854,833965,746014,0,282875,71008,211867,83024506,84399445,2233887,0.400468314,2.49707646,420306.00,8619737.00
3/31/2016,VTB,24,5,4,4,3,5,3,4,7,5,3,,28.93,0.034566194,56220778,181312708,-12988801,194301509,23.1,23.1,2.94,314770669,272743189,42027479,37775689,176914927,183332275,183332275,0,1193,0,0,7813803,4408575,3405228,819693,304029,515664,716,-719100,3484464,1438511,2065589,0,-19636,-20829,1193,150666209,161546520,2557940,0.592799639,1.686910609,79236.00,24308616.00
6/30/2016,ABB,21,1,1,2,3,3,2,3,3,3,,7,2.93,0.341296928,6919679,232345624,-4154629,236500253,60.04,60.04,1.17,330917890,298893884,32024006,22907500,232345624,203338494,203338494,0,1543474,1,10,14366484,10473445,3893039,1097683,199952,897731,0,136780,5469116,1282222,2266216,0,1920678,377204,1543474,177168834,152009784,1739272,0.414366051,2.413325121,1576077.00,11668809.00
6/30/2016,ACBA,16,5,4,3,4,4,3,5,7,4,2,,10.27,0.097370983,19180112,179035839,-7710795,186746634,40.2,40.2,3.44,271122148,215565253,55556895,30000000,179035839,126622403,126622403,0,1037462,1,4,14391351,6892762,7498589,1634369,799753,834616,2540,985381,9778312,3222821,4984863,52655,1517973,480511,1037462,147364151,122876876,881121,0.509787681,1.961600951,2279723.00,18526759.00
6/30/2016,ADB,5,1,,,,,1,,2,,,1,15.74,0.063532402,7257377,43603316,-2516333,46119649,34.67,34.67,0.95,69963941,58554260,11409681,4525992,43603316,53395176,53395176,0,738058,2,14,3741811,2337958,1403853,163377,52779,110598,0,176477,2109078,215839,1081493,0,811746,73688,738058,27853772,41872862,237307,0.512779992,1.950154093,705225.00,32705.00
6/30/2016,Ameria,9,1,1,2,,,,,,,,,6.27,0.159489633,21739799,339606357,-6921448,346527805,31.84,31.84,1.32,522161152,461897219,60263933,32087360,339606357,293023237,300265928,7242691,2144161,1,7,20243093,13211225,7031868,1316631,275432,1041199,0,76930,9191018,2174178,4336639,0,2680201,536040,2144161,172596030,348120257,1444865,0.471834458,2.119387389,2159150.00,33206198.00
6/30/2016,IDbank,8,1,,,,1,1,,1,2,,,14.01,0.071377587,8460880,57550961,-2750941,60301902,32.55,32.51,8.39,93991607,78915681,15075926,13696300,57550961,56690542,56690542,0,-2176393,-5,-27,4848148,3342601,1505547,529973,39050,490923,296,-106848,1992399,2681795,1473985,0,-2163381,13012,-2176393,42769058,51107004,115545,0.739804126,1.351709141,486852.00,8762401.00
6/30/2016,Ararat,28,3,3,3,2,4,2,1,4,1,,1,3.21,0.31152648,2278365,69529478,-1420662,70950140,62.35,62.35,1.86,135697999,112502868,23195131,6387505,69529478,58675248,61954679,3279431,326327,0,3,5200305,2872065,2328240,482278,262258,220020,0,-166104,2729496,640863,1758490,0,330143,3816,326327,63620015,71489172,588812,0.64425447,1.552181702,401256.00,17039641.00
6/30/2016,AREXIM,7,1,,,1,2,2,,2,1,,,52.83,0.018928639,30883597,39749716,-18712776,58462492,60.59,60.59,-2.55,97969217,75005371,22963846,30590872,39749716,56747211,56747211,0,-183409,0,-1,2788524,2479607,308917,387407,73456,313951,0,533758,1138726,-783391,2108344,0,-186227,-2818,-183409,41730885,55110761,1127571,1.851493687,0.540104461,829809.00,5678570.00
6/30/2016,ArmSwiss,1,,,,,,,,,,,,9.56,0.10460251,3984137,40345048,-1320236,41665284,33.14,33.14,-0.47,87341455,64622493,22718962,8752800,40345048,30265533,35107120,4841587,1691728,4,16,4601818,2400137,2201681,83443,32183,51260,0,97239,2483575,-91447,468294,0,2106728,415000,1691728,49943381,37363219,34855,0.188556416,5.303452522,281894.00,33286211.00
6/30/2016,Artsakh,8,,,,,,,,,,,16,8.97,0.11148272,5796312,62595841,-1994706,64590547,34.41,34.41,0.46,90285974,77846286,12439688,11061150,62595841,53191352,53191352,0,880621,2,15,5416663,3436738,1979925,190822,6338,184484,0,85967,2441450,152216,1408613,0,880621,0,880621,50971344,39206808,107822,0.576957546,1.733229779,461525.00,7993995.00
6/30/2016,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,4.77,0.209643606,15073886,310574753,-5652343,316227096,37.5,37.5,1.27,452798075,401503289,51294786,17925200,310574753,248699440,298862202,50162762,2226389,1,9,22348252,15626765,6721487,1284339,351614,932725,0,441005,8978565,1923604,4246958,0,2808003,581614,2226389,208424820,243462466,910789,0.473010776,2.114116741,2257078.00,19982052.00
6/30/2016,BTA,5,,,,,,,,1,,,,10.37,0.096432015,484957,4189310,-488227,4677537,100.67,100.67,10.46,11668223,6357771,5310452,6520000,4189310,2439778,2439778,0,-94899,-1,-4,789827,316491,473336,141768,71152,70616,0,-34801,554018,296057,352860,0,-94899,0,-94899,8231678,3292232,144313,0.636910714,1.570078785,80682.00,1562135.00
6/30/2016,Byblos,4,,,,,,,,,,,,30.52,0.0327654,6250253,16792085,-3688572,20480657,59.01,59.01,0.65,51603724,30503626,21100098,23825100,16792085,24964631,24964631,0,-191925,-1,-4,1385675,1033189,352486,45526,19460,26066,0,-28113,362990,68790,486125,0,-191925,0,-191925,28371130,23216034,16560,1.339224221,0.746700951,10504.00,6625925.00
6/30/2016,Converse,14,2,2,1,1,6,3,1,3,1,,1,2.04,0.490196078,1797060,84052057,-3842708,87894765,213.83,213.83,0.7,150834913,128967643,21867270,7002033,84052057,104319037,104319037,0,978635,1,9,6804520,3222126,3582394,864461,310057,554404,0,-713946,3607239,314158,2011116,0,1281965,303330,978635,67282523,81661885,1890505,0.557522249,1.793650391,24845.00,9578928.00
6/30/2016,Econom,19,3,1,1,2,4,2,1,2,3,1,1,3.79,0.263852243,2474484,64096970,-1170464,65267434,47.3,47.3,0.89,114165329,95658449,18506880,3164455,64096970,60694362,60694362,0,116528,0,1,5103172,2744625,2358547,669851,166520,503331,0,-419414,2784371,269664,2327100,0,187607,71079,116528,63256840,50044900,863589,0.835772244,1.196498217,425824.00,11537214.00
6/30/2016,Evoca,9,1,,,,1,,,1,,,,3.97,0.251889169,1601391,39863661,-440314,40303975,27.5,27.5,1.32,81953225,57283367,24669858,14400000,39863661,36543032,41867436,5324404,370928,1,3,3023431,1641945,1381486,169973,107881,62092,0,-214267,1378699,258886,656153,0,463660,92732,370928,42460897,38287621,1204707,0.475921865,2.101185244,-2787.00,10667711.00
6/30/2016,HSBC,9,,,,,,,,,,,,15.3,0.065359477,25881646,162781196,-6339811,169121007,24.5,24.5,3.64,238856999,184226047,54630952,18434350,162781196,139107634,139107634,0,1152227,1,4,8980840,2469904,6510936,1895883,357643,1538240,0,-613987,8107765,3088225,3469786,0,1549753,397526,1152227,96041697,142301813,513489,0.427958383,2.336675807,1596829.00,20023949.00
6/30/2016,INECO,13,2,,,1,3,2,1,2,,,,8.35,0.119760479,12954981,149290325,-5830235,155120560,45,45,3,217898995,177181866,40717129,14545680,149290325,80761620,80761620,0,1964114,2,9,12758015,6077739,6680276,814827,243619,571208,0,636684,8332778,2368867,3252907,0,2711004,746890,1964114,105544452,112062611,291932,0.390374855,2.561640401,1652502.00,16938592.00
6/30/2016,Mellat,1,,,,,,,,,,,,6.71,0.149031297,412603,5934252,-211614,6145866,51.29,51.29,0.71,32486170,8352331,24133839,23100000,5934252,1930737,1930737,0,464607,3,5,1133971,62455,1071516,25597,2846,22751,0,10908,1194526,21471,294088,269060,609907,145300,464607,22190679.02,10214766.6,80724.37,0.246196399,4.061797833,123010.00,9419441.00
6/30/2016,ProCredit,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
6/30/2016,Uni,27,3,1,2,1,2,1,1,2,3,1,2,6.45,0.15503876,7711729,115088554,-4451605,119540159,57.73,57.73,2.12,166862246,138053511,28808735,16438382,115088554,112223445,114653130,2429685,570250,1,5,9154340,6500807,2653533,1851462,140109,1711353,0,-1103469,3497968,1263653,1523106,0,711209,140959,570250,83237215,82688673,936358,0.435425939,2.296601811,844435.00,9164403.00
6/30/2016,VTB,24,5,4,4,3,5,3,4,7,5,3,,31.85,0.031397174,57937365,167996195,-13910009,181906204,24.01,24.01,2.83,278267889,237052130,41215759,37775689,167996195,171132986,171132986,0,-1248748,-1,-6,15426631,8517795,6908836,1712339,648211,1064128,1414,-2973768,5611083,2731900,4261278,0,-1382095,-133347,-1248748,153046402,121073830,4147657,0.759439488,1.316760605,-1297753.00,25513425.00
9/30/2016,ABB,21,1,1,2,3,3,1,3,3,4,,7,3,0.333333333,7199625,235260769,-4331848,239592617,60.17,60.17,1.7,337421848,304802078,32619770,22907500,235260769,234974125,234974125,0,1247896,1,5,21714438,16179907,5534531,1751519,284403,1467116,0,14178,7855720,2875919,3422832,0,1556969,309073,1247896,160430610,173417784,3573454,0.435712067,2.295093654,2321189.00,13685038.00
9/30/2016,ACBA,16,5,4,3,4,4,3,5,7,4,2,,9.38,0.106609808,16813599,171505940,-7697221,179203161,45.78,45.78,3.61,283144191,225999686,57144505,30000000,171505940,135072364,135072364,0,2051177,1,5,21853312,10298732,11554580,2532161,1221792,1310368,3765,1531289,15202552,5031268,7286128,21445,2863712,812535,2051177,159965257,122068445,1110489,0.479270059,2.086506305,3647972.00,20573577.00
9/30/2016,ADB,5,1,,,,,1,,2,,,1,16.92,0.059101655,7472190,41324438,-2846392,44170830,38.09,38.09,1.76,68005269,56157906,11847363,4525992,41324438,50673277,50673277,0,1175740,2,14,5544694,3389462,2155232,248248,82018,166230,0,251060,3377972,598121,1545969,0,1233882,58142,1175740,26018551,41774669,212049,0.457661875,2.185019235,1222740.00,32704.00
9/30/2016,Ameria,9,1,1,2,,,,,,,,,5.56,0.179856115,19787097,347938942,-7997950,355936892,40.42,40.42,1.61,524125690,462357799,61767890,32087360,347938942,298150889,305393580,7242691,3506095,1,8,30646578,19842026,10804552,2064866,444385,1620481,0,50787,14880787,4064306,6538492,0,4277989,771893,3506095,170955569,350820036,2350085,0.439391546,2.275874466,4076235.00,31196799.00
9/30/2016,IDbank,8,1,,,,1,1,,1,2,,,7.11,0.140646976,7239545,98773399,-3007670,101781069,41.55,41.55,4.81,145135534,130272147,14863387,13696300,98708775,60045242,60045242,0,-1502063,-2,-13,7465488,5242727,2222761,766556,51399,715157,0,-68155,3002596,2513447,2255907,0,-1766758,-264695,-1502063,49319153,95666428,149953,0.751318859,1.330992811,779835.00,15688379.00
9/30/2016,Ararat,30,3,5,3,2,3,2,1,4,2,,1,4.06,0.246305419,2747824,66112253,-1573807,67686060,57.27,57.27,1.78,137513227,113419926,24093301,6387505,66112253,51033246,54299199,3265953,732828,1,4,8004236,4301306,3702930,753671,416186,337485,0,-250833,4343859,922922,2664060,0,756877,24049,732828,66836946,69746085,930196,0.613293387,1.63054098,640929.00,26890876.00
9/30/2016,AREXIM,7,1,,,1,2,2,,2,1,,,50.57,0.01977457,28227984,39252023,-16567379,55819402,58.69,58.69,5.11,90695921,69861793,20834128,30590872,39252023,50042025,50042025,0,-2290444,-3,-13,4168266,3590665,577601,599191,114177,485014,0,1729661,3285763,2300940,3272405,0,-2287582,2862,-2290444,39750389,48002339,2943193,0.995934582,1.004082013,2708162.00,5860531.00
9/30/2016,ArmSwiss,1,,,,,,,,,,,,9.39,0.106496273,4114896,42291303,-1515325,43806628,36.83,36.83,-0.16,96855293,69928073,26927220,8752800,42291303,35241833,40061930,4820097,2504467,4,15,7054609,3674372,3380237,138583,64096,74487,1474,142592,3853096,-49396,778025,0,3124467,620000,2504467,54293524,42504212,57557,0.201922039,4.952406409,472859.00,39512884.00
9/30/2016,Artsakh,8,,,,,,,,,,,16,8.88,0.112612613,5619484,61344013,-1948749,63292762,34.68,34.68,-3.32,92617317,79316636,13300681,11061150,61344013,63163328,63163328,0,2666001,4,29,8022405,5102385,2920020,311615,8453,303162,0,143678,3647699,-1617994,2599692,0,2666001,0,2666001,53500965,39027416,88936,0.712693673,1.403127371,727679.00,8926518.00
9/30/2016,ASHB,14,5,4,5,4,4,2,3,3,4,2,6,4.6,0.217391304,14945170,318748878,-5895743,324644621,39.45,39.45,1.47,442158561,389130954,53027607,17925200,318748878,226468431,274307088,47838657,3435577,1,9,33341760,22911383,10430377,2013253,550432,1462821,0,768861,14176752,3411371,6436244,0,4329137,893560,3435577,194261396,246677453,1219712,0.453999901,2.202643652,3746375.00,30663152.00
9/30/2016,BTA,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
9/30/2016,Byblos,3,,,,,,,,,,,,26.32,0.037993921,6013170,19126444,-3716994,22843438,61.81,61.81,0.91,59820478,37959452,21861026,23825100,19126444,27557850,27557850,0,-4601,0,0,2363535,1536313,827222,69588,29370,40218,0,-48214,829296,145949,687948,0,-4601,0,-4601,31844746,27959171,16561,0.829556636,1.205463204,2074.00,18050893.00
9/30/2016,Converse,14,2,2,1,1,6,3,1,3,1,,1,8.94,0.111856823,9492175,101940231,-4224498,106164729,44.51,44.51,1.12,173694986,143456404,30238582,13987233,101940231,124474291,124474291,0,1767375,2,10,10222683,4945308,5277375,1460615,544418,916197,0,-1212469,5355741,769665,3126970,0,1459106,-308269,1767375,68802573,102048196,2844217,0.58385385,1.712757396,78366.00,12584933.00
9/30/2016,Econom,25,3,1,1,2,4,2,1,3,3,1,1,4.86,0.205761317,3343149,67413148,-1337496,68750644,40.01,40.01,0.99,129643531,104424832,25218699,4269988,67413148,64280826,64280826,0,722550,1,5,9194989,4645859,4549130,1199132,335280,863852,0,-784388,5370921,462958,3936194,0,971769,249219,722550,73027414,55385215,1230902,0.732871327,1.364496008,821791.00,15130632.00
