Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%),NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
12/31/2013,Evoca,8,1,,,,1,,,1,,,,0.44,2.272727273,133285,29746299,-313791,30060090,235.43,235.43,0,62830970,40777877,22053093,14400000,29746299,26164406,30434073,4269667,1411300,3,7,5216894,2464468,2752426,298300,364004,-65704,0,-60113,3449991,258753,1407430,0,1783808,372508,1411300,,,,0.407951789,2.451270045,697565.00,6144901.00
12/31/2013,HSBC,11,,,,,,,,,,,,4.57,0.218818381,7044544,153234457,-847935,154082392,12.04,12.04,0,249423589,208142504,41281085,18434350,153234457,159194637,159194637,0,8009503,4,20,18762775,4489755,14273020,2609628,460086,2149542,0,-1097831,16995271,551958,6299727,0,10143586,2134083,8009503,,,,0.37067529,2.697778964,2722251.00,32530104.00
12/31/2013,INECO,8,2,,,1,2,1,1,1,,,,2.12,0.471698113,1793370,82798005,-1608404,84406409,89.88,89.69,0,130594951,107125928,23469023,6926450,82798005,35783661,35783661,0,4886902,4,24,14631201,5976484,8654717,992191,169770,822421,0,244468,10284043,627200,3499580,0,6157263,1270361,4886902,,,,0.340292237,2.93865064,1629326.00,9395757.00
12/31/2013,Mellat,1,,,,,,,,,,,,8.45,0.118343195,419857,4823602,-143391,4966993,34.15,34.15,0,18964651,7983715,10980936,6850000,4823602,1277632,1277632,0,234473,1,2,1069821,12297,1057524,35868,374,35494,0,-212743,885313,36423,521854,0,327036,92563,234473,,,,0.589457062,1.696476409,-172211.00,5052805.00
12/31/2013,ProCredit,12,1,,,1,,1,,1,,,,1.38,0.724637681,598350,42682417,-726535,43408952,121.02,121.42,0,52793409,44128171,8665238,9990000,42682417,24647965,24647965,0,21529,0,0,5894532,2485637,3408895,346132,196172,149960,0,-42712,3764370,263605,3397260,0,103505,81976,21529,,,,0.902477705,1.108060614,355475.00,10665.00
12/31/2013,Uni,24,4,1,2,1,3,2,1,2,3,1,2,3.66,0.273224044,4200578,111784681,-2829684,114614365,67.36,67.36,0,154207411,132874535,21332876,13100700,117421643,126829547,126829547,0,483590,0,2,16828969,11220783,5608186,1354979,271932,1083048,0,-2299906,5663646,1017935,3751192,0,894519,410929,483590,,,,0.662328119,1.509825676,55460.00,5418344.00
12/31/2013,VTB,24,5,4,4,3,5,3,4,7,5,3,,10.31,0.09699321,23328987,217153722,-8178947,225332669,35.2,35.06,0,302274758,265020822,37253936,13775692,218802698,146864966,146864966,0,5638029,2,17,30474503,15286669,15187835,2668801,629115,2039686,1262,1521514,20302111,3453718,9519355,0,7329037,1691008,5638029,,,,0.468884984,2.132719183,5114276.00,16419606.00
3/31/2014,ABB,13,1,1,2,1,2,1,1,2,1,,7,5.29,0.189035917,7319849,135545133,-2915475,138460608,39.83,39.83,0,221427808,195749158,25678650,17500000,135545133,113729616,113729616,0,1139694,2,18,4547770,3533178,1014592,429091,93295,335796,0,-72777,1407325,-982323,961221,0,1428427,288733,1139694,,,,0.683012808,1.464101388,392733.00,9165288.00
3/31/2014,ACBA,11,5,4,3,4,4,2,5,5,4,2,,7.61,0.131406045,13924587,177965561,-5026761,182992322,36.1,36.1,0,264591473,211602514,52988959,30000000,177965561,109553835,109553835,0,-1299512,-2,-10,6796811,3225984,3570827,716522,284803,431719,763,-73561,4150976,3099847,2306825,21318,-1277014,22498,-1299512,,,,0.555730749,1.799432552,580149.00,7507076.00
3/31/2014,ADB,4,1,,,,,1,,1,,,1,11.44,0.087412587,4831055,40986696,-1225230,42211926,25.36,25.36,0,69176684,59717792,9458892,4525992,40986696,53673244,53673244,0,258089,1,11,1871256,1203438,667818,84505,22421,62084,0,31578,842840,67476,450262,0,325102,67013,258089,,,,0.534220018,1.871887923,175022.00,2304877.00
