,level_0,Banks name,level_1,Netinterestincome,Net non-interest,Profit/(loss)aftertax,Index,Month,Year
0,2020-06-30,Artsakh,0,0.2849565178027196,0.000656842182969835,0.42006257641561384,-0.09027397156727966,6,2020
1,2020-06-30,ASHB,1,0.9999999999999999,1.0,1.0,0.9281854936195347,6,2020
2,2020-06-30,Byblos,2,0.0,0.027772903735989153,0.023032581385954654,-0.3757268013182803,6,2020
3,2020-06-30,Converse,3,0.45818113603786403,0.29277866473687236,0.22286839652740126,0.032403677752988656,6,2020
4,2020-06-30,Econom,4,0.4293791185561181,0.15839166221478293,0.46600034342846763,0.06454373326157195,6,2020
5,2020-06-30,Evoca,5,0.2011622703384781,0.038226593216293875,0.07826610877278646,-0.25857906636187244,6,2020
6,2020-06-30,HSBC,6,0.2734730449799072,0.17473484086397256,0.13951217590526838,-0.13841513570684771,6,2020
7,2020-06-30,IDbank,7,0.23795505300032255,0.036331146329422435,0.019763180497075372,-0.2686770787159737,6,2020
8,2020-06-30,Ineco,8,0.7417226303367609,0.20242455577517096,0.42858570216110536,0.2055130176575215,6,2020
9,2020-06-30,Mellat,9,0.03807275168534126,0.0,0.10413078366023899,-0.33633097917805754,6,2020
10,2020-06-30,Uni,10,0.2392936542100833,0.05708011699005215,0.0,-0.26728413355819597,6,2020
11,2020-06-30,VTB,11,0.8213357848603008,0.0063686288370495905,0.3543938749643983,0.11955925216139265,6,2020
12,2020-09-30,ABB,12,0.3586813537296878,0.9127396390329144,0.07753647045327156,0.2060856754791617,9,2020
13,2020-09-30,ACBA,13,0.7350474853850854,0.1012120803604302,0.16708684025786483,0.04318462370420469,9,2020
14,2020-09-30,Ameria,14,1.0,0.5492363313730282,0.6264974122792158,0.5619561836657031,9,2020
15,2020-09-30,Ararat,15,0.1811935102186534,0.10022343678020604,0.13507298003875945,-0.21462496841722448,9,2020
16,2020-09-30,Armswiss,16,0.21541718533339457,0.540996720458309,0.65259695289789,0.22468858911283351,9,2020
17,2020-09-30,Artsakh,17,0.23088287115344272,0.053813522872829145,0.49192686930220775,-0.05877085239281151,9,2020
18,2020-09-30,ASHB,18,0.8485770785398279,1.0,1.0,0.8616250453253615,9,2020
19,2020-09-30,Byblos,19,0.0,0.07406812676191844,0.022269011537722067,-0.3551086080226572,9,2020
20,2020-09-30,Converse,20,0.3571850156534614,0.3708645923733658,0.27175182266021014,0.044579746588147263,9,2020
21,2020-09-30,Econom,21,0.32794096934941386,0.1868673528551333,0.3676033031297844,-0.009901825708894089,9,2020
22,2020-09-30,Evoca,22,0.1587007350825568,0.09185185649648855,0.03805309397323707,-0.27044497878232876,9,2020
23,2020-09-30,HSBC,23,0.22053915532158805,0.27856695961188666,0.15443199639489308,-0.10821513306464528,9,2020
24,2020-09-30,IDbank,24,0.1895654324707375,0.09125598589348358,0.01621371297899249,-0.2666343694705417,9,2020
25,2020-09-30,Ineco,25,0.5664475294834441,0.2925588478554831,0.30949968534608685,0.11752633969084515,9,2020
26,2020-09-30,Mellat,26,0.03420264938725849,0.045182216681751215,0.08979710872649455,-0.32381235129995073,9,2020
27,2020-09-30,Uni,27,0.22859916026413282,0.0,0.0,-0.2978154220042768,9,2020
28,2020-09-30,VTB,28,0.650038713460144,0.04118139919666219,0.2648269650628603,0.0211094838132855,9,2020
29,2020-12-31,ABB,29,0.4029148005832924,1.0,0.0,0.23133582328012606,12,2020
30,2020-12-31,ACBA,30,0.7186657480366949,0.3430062753042652,0.26130040913108676,0.18632791176216604,12,2020
31,2020-12-31,Ameria,31,1.0,0.6270490506532346,0.8832348619367163,0.7086930496143918,12,2020
32,2020-12-31,Ararat,32,0.17578810720543203,0.08234747768882694,0.1241467020811545,-0.2298366501391366,12,2020
33,2020-12-31,Armswiss,33,0.234426280223762,0.3154309504444754,0.5884867501406533,0.10312064626504555,12,2020
34,2020-12-31,Artsakh,34,0.23528695334857175,0.0,0.1699323585396786,-0.2210586047475376,12,2020
35,2020-12-31,ASHB,35,0.8644235083386251,0.802440349460208,0.9999999999999999,0.7791893469797114,12,2020
36,2020-12-31,Byblos,36,0.0,0.07840392980145172,0.13265934017144398,-0.305193970768835,12,2020
37,2020-12-31,Converse,37,0.35058023286935,0.32860910819779404,0.26670881229888704,0.020364080284758806,12,2020
38,2020-12-31,Econom,38,0.31247294994109354,0.143380649517205,0.4666350987358392,0.006638523855806521,12,2020
39,2020-12-31,Evoca,39,0.15285492699638192,0.09592487103005101,0.06679134611887387,-0.2586878094488036,12,2020
40,2020-12-31,HSBC,40,0.22516780568558215,0.23407673731545145,0.2169411566964233,-0.09916018452766283,12,2020
41,2020-12-31,IDbank,41,0.1706440314852921,0.1505608125960457,0.10737513216758607,-0.20851479386076358,12,2020
42,2020-12-31,Ineco,42,0.5472314410014694,0.27054702104902595,0.49411128924506437,0.17931224338020532,12,2020
43,2020-12-31,Mellat,43,0.035692965394461706,0.037445002509633,0.20440558950583668,-0.27687367109275357,12,2020
44,2020-12-31,Uni,44,0.2272408298246657,0.08593188898017676,0.014922388180697134,-0.2530437681475023,12,2020
45,2020-12-31,VTB,45,0.6323435659561418,0.01130227678943161,0.19019357887276916,-0.032609919324178394,12,2020
46,2021-03-31,ABB,46,0.4254794809679193,1.0,0.33064500706623906,0.38488371700336904,3,2021
47,2021-03-31,ACBA,47,0.5400372552820354,0.21452590311529945,0.20950801191029417,0.02716969752348604,3,2021
48,2021-03-31,Ameria,48,1.0,0.7377032859669301,1.0,0.8094889061521273,3,2021
