,level_0,Banks name,level_1,LoanPortfolio(net),TotalAssets,TotalLiabilities,TotalCapital,Liabilitiestocustomers(incl.securities),Bonds Attracted,Netinterestincome,Net non-interest,Profit/(loss)aftertax,NPL (%)_r,"ROA
(Annualized)","ROE
(Annualized)",Cost of credit risk_r,Index,Month,Year,Y-M
0,2020-06-30,Artsakh,0,0.17511490167464405,0.16202794340208354,0.16475429920506224,0.2732863260849272,0.2016948153628519,0.5606669746723358,0.2849565178027196,0.000656842182969835,0.42006257641561384,0.0,0.75,0.8571428571428571,0.8468967728930525,0.20114849792319653,6,2020,2020_6
1,2020-06-30,ASHB,1,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.0,0.18521665250637215,0.5,0.9999999999999999,0.5654319988602841,0.08297286250148868,6,2020,2020_6
2,2020-06-30,Byblos,2,0.033414761130045725,0.04175750985046421,0.058030316185790055,0.0,0.09619960073570907,0.41914471709682327,0.0,0.027772903735989153,0.023032581385954654,0.10067969413763805,0.25,0.07142857142857142,0.3264446757773662,0.0017554159916713817,6,2020,2020_6
3,2020-06-30,Converse,3,0.3877161610410777,0.3408541920150681,0.34987094924955037,0.34009266152047646,0.45186255657257973,0.24451093359529869,0.45818113603786403,0.29277866473687236,0.22286839652740126,0.18351741716227699,0.25,0.3571428571428571,0.12482004465662982,-0.039156413439933445,6,2020,2020_6
4,2020-06-30,Econom,4,0.31597467616463415,0.3006570011762615,0.3152000283854765,0.23592481303806123,0.21749531932114521,0.47590138922494013,0.4293791185561181,0.15839166221478293,0.46600034342846763,0.0021240441801189443,0.5,0.9999999999999999,0.24290138047850857,0.12274169642631111,6,2020,2020_6
5,2020-06-30,Evoca,5,0.18305364390984452,0.1621218020492068,0.1819782249641607,0.05331970893205484,0.20555951314715323,0.0,0.2011622703384781,0.038226593216293875,0.07826610877278646,0.09855564995751911,0.25,0.2857142857142857,0.26639132200583987,-0.02309399362209709,6,2020,2020_6
6,2020-06-30,HSBC,6,0.21508669258961058,0.19564728443128276,0.2034256791431059,0.2361410285650789,0.29423487972315265,0.20927237796313053,0.2734730449799072,0.17473484086397256,0.13951217590526838,0.5288870008496177,0.25,0.2857142857142857,0.0,-0.05361792577613338,6,2020,2020_6
7,2020-06-30,IDbank,7,0.1351751764173737,0.11850892534827286,0.120144069970165,0.2513813043936006,0.15506588297994153,0.38275802534129827,0.23795505300032255,0.036331146329422435,0.019763180497075372,0.09983007646559047,0.25,0.0,0.09177241402009667,-0.03560272292428913,6,2020,2020_6
8,2020-06-30,Ineco,8,0.3899935309774611,0.385030467316928,0.38538137629479935,0.48787440826358064,0.41183988279418837,0.5183073482711538,0.7417226303367609,0.20242455577517096,0.42858570216110536,0.14613423959218352,0.5,0.5714285714285714,0.5686457490439039,0.07321256721340176,6,2020,2020_6
9,2020-06-30,Mellat,9,0.0,0.0,0.0,0.17456400658805948,0.0,0.2768626177767202,0.03807275168534126,0.0,0.10413078366023899,0.10450297366185216,1.0,0.21428571428571427,1.0,0.15612108693898627,6,2020,2020_6
10,2020-06-30,Uni,10,0.2515518450843436,0.21876868530180726,0.24059021893396662,0.0748352758106382,0.3019079303687523,0.03748217817876487,0.2392936542100833,0.05708011699005215,0.0,0.9999999999999999,0.0,0.0,0.29666925275861517,-0.13964445609508486,6,2020,2020_6
11,2020-06-30,VTB,11,0.34610513001114973,0.3419494282674079,0.3482631660359117,0.3757183161830826,0.456834095380895,0.07569636215794967,0.8213357848603008,0.0063686288370495905,0.3543938749643983,0.5097706032285472,0.5,0.5714285714285714,0.3510514635882191,0.011553052167058367,6,2020,2020_6
12,2020-09-30,ABB,12,1.0,0.9760993995074024,0.9999999999999998,0.3315577634504365,0.9999999999999999,0.10071860889352703,0.3586813537296878,0.9127396390329144,0.07753647045327156,0.10104712041884817,0.0,0.07142857142857142,0.2843538355290236,-0.19901866605364732,9,2020,2020_9
13,2020-09-30,ACBA,13,0.4977609861353021,0.4849594848618771,0.4701698990886311,0.5020327867603878,0.42258692358226474,0.0,0.7350474853850854,0.1012120803604302,0.16708684025786483,0.16596858638743456,0.25,0.14285714285714282,0.07851933365227726,-0.09296467159485786,9,2020,2020_9
14,2020-09-30,Ameria,14,0.9950972666475857,0.9999999999999999,0.9600169318581353,1.0,0.8712389309323852,0.320791551866154,1.0,0.5492363313730282,0.6264974122792158,0.19633507853403143,0.25,0.4285714285714285,0.1945240475879247,-0.08306336188506411,9,2020,2020_9
15,2020-09-30,Ararat,15,0.20594370080247124,0.197488563873966,0.2072827782220526,0.11581973147147229,0.16081246436707733,0.1752094455904099,0.1811935102186534,0.10022343678020604,0.13507298003875945,0.1267015706806283,0.25,0.2857142857142857,0.028666018620193634,-0.02694108318213387,9,2020,2020_9
16,2020-09-30,Armswiss,16,0.1532280551304074,0.3176343696444772,0.2975592801014621,0.4788640467979345,0.29338882574015707,1.0,0.21541718533339457,0.540996720458309,0.65259695289789,0.06649214659685865,0.75,0.8571428571428571,1.0,0.23082551515571803,9,2020,2020_9
17,2020-09-30,Artsakh,17,0.15792365759366267,0.1477044464558857,0.14531625837592416,0.21810149307067295,0.1658778034553688,0.17008027126997488,0.23088287115344272,0.053813522872829145,0.49192686930220775,0.007329842931937173,1.0,0.9999999999999999,0.5290737680948432,0.20558546321056145,9,2020,2020_9
18,2020-09-30,ASHB,18,0.953829700080684,0.9661957081167724,0.9500849699864734,0.7386846949072731,0.79819853818232,0.29988253502485573,0.8485770785398279,1.0,1.0,0.22251308900523561,0.5,0.9999999999999999,0.322789649873752,0.03104563067037568,9,2020,2020_9
19,2020-09-30,Byblos,19,0.033797440090397535,0.03689851948023844,0.050714575950062415,0.0,0.0840167763336215,0.09915467287908437,0.0,0.07406812676191844,0.022269011537722067,0.09476439790575919,0.25,0.07142857142857142,0.134879480687759,-0.031662572828178095,9,2020,2020_9
20,2020-09-30,Converse,20,0.33673656553301257,0.30120220073119097,0.30239068974854283,0.25244498625731504,0.3685900322542314,0.112074722272697,0.3571850156534614,0.3708645923733658,0.27175182266021014,0.23769633507853402,0.25,0.4999999999999999,0.05544366071289003,-0.029977772263578818,9,2020,2020_9
21,2020-09-30,Econom,21,0.28708861498594646,0.2947111667488518,0.3035746432771537,0.17046057540511417,0.18051730903178584,0.1750642661316158,0.32794096934941386,0.1868673528551333,0.3676033031297844,0.0,0.5,0.7857142857142857,0.09685189487610962,0.0679595113814688,9,2020,2020_9
