Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
6/30/2020,Uni,30,4,1,3,2,2,2,2,2,3,1,2,23.88,38802688,148765949,-13751404,162517353,35.44,35.44,2.69,229961513,195675073,34286440,20489652,148765949,152455044,161771414,9316370,518437,0,3,9023487,4761930,4261557,1522064,298075,1223989,0,-1874208,4846733,2155094,2080075,0,611564,93127,518437,125805585,100400458,3755470,0.429170536,2.33007608,585176,16911734
6/30/2020,VTB,28,5,4,5,4,5,3,4,7,5,3,0,12.34,27587841,199230684,-24254172,223484856,87.92,87.92,3.52,320829947,270307844,50522103,63775674,199230684,241716119,241716119,0,2749468,2,11,17566994,6336677,11230316,1269287,694215,575072,0,-1256703,11452784,3800532,4572051,0,3080200,330732,2749468,220646854.5,96622245.09,3560847.68,0.399208734,2.504955215,222467,18593458
9/30/2020,ABB,31,3,2,3,3,4,1,3,4,3,0,7,2.32,15016835,638083909,-9054224,647138133,60.29,60.29,2.49,888674691,832490218,56184473,42090187,638083909,636087839,647273276,11185437,1521385,0,4,39132274,28739230,10393044,5849507,665749,5183758,0,-1348062,19522115,11417282,6199448,0,1905385,384000,1521385,503268799,373907656,11498236,0.317560264,3.149008593,9129071,30493618
9/30/2020,ACBA,19,5,4,4,4,5,4,6,6,4,2,0,3.56,12027351,325983213,-11677416,337660629,97.09,97.09,2.71,478157796,408722720,69435076,30000000,325983213,274067010,276738538,2671528,2390979,1,5,34173917,14991842,19182075,3461935,1339151,2122784,7974,-2923571,20027954,6550506,10147617,285537,3615368,1224389,2390979,293582769.3,182909189,1665838,0.506672683,1.973660775,845879,12696092
9/30/2020,Ameria,12,1,1,2,0,1,1,0,1,0,1,0,4.14,26960904,635037259,-16541247,651578506,61.35,61.35,2.3,908651891,800511052,108140839,37386880,635037259,495780365,564645343,68864978,6852163,1,9,48934822,23565485,25369337,3742762,1072612,2670150,0,-1197180,30788161,10691966,11679586,0,8416609,1564446,6852163,369775160,529600185,9276546,0.379353146,2.636066184,5418824,69381704
9/30/2020,Ararat,28,4,4,3,2,5,2,1,6,2,0,1,2.81,4166960,144642506,-3730657,148373163,89.53,89.53,0.36,237876633,198460945,39415688,8803655,144642506,94514738,108753893,14239155,2080103,1,7,12927056,6678769,6248287,1289748,666769,622979,0,-601102,7084075,385089,4194266,0,2504720,424617,2080103,112876004,124199977,800652,0.592069677,1.688990399,835788,43656554
9/30/2020,Armswiss,1,0,0,0,0,0,0,0,0,0,0,0,1.66,1926251,111884020,-3979254,115863274,206.58,206.58,2.58,338299917,270665690,67634227,10000200,111884020,131288317,193830157,62541840,7105607,3,15,19410268,12362778,7047490,288974,76941,212033,115482,-54401,12382213,2065283,1711323,0,8605607,1500000,7105607,223113449,113557815,1628653,0.13820817,7.235462274,5334723,189401531
9/30/2020,Artsakh,8,0,0,0,0,0,0,0,0,0,0,16,0.53,616058,114801955,-884411,115686366,143.56,143.56,-0.46,196264822,148899025,47365797,23261150,114801955,112004398,112004398,0,5545393,4,17,13356581,5947931,7408650,486950,133587,353363,6041,-247326,7770736,-373864,1709207,0,6435393,890000,5545393,141574206.7,54390801,299814,0.219954326,4.546398419,362086,42750201
9/30/2020,ASHB,19,6,4,5,5,6,3,3,4,4,2,0,4.64,29080171,609392823,-17219426,626612249,59.21,59.21,2.41,880396739,792567293,87829445,52227200,609392822,354609901,517774214,163164313,10479123,2,17,50459987,28626730,21833257,4660324,1381118,3279206,0,1485744,31852987,9976331,9456181,0,12420475,1941352,10479123,429401679,447335103,3659957,0.296869521,3.36848322,10019730,65686967
9/30/2020,Byblos,3,0,0,0,0,0,0,0,0,0,0,0,2.2,842254,37667607,-676954,38344561,80.37,80.37,0.7,103648230,73234924,30413306,26249100,37667607,59472934,59472934,0,984701,1,4,4815308,2798314,2016994,103499,74850,28649,0,-95044,2585817,191913,1126479,0,1267425,282724,984701,53253070,50385945,9215,0.435637557,2.295486199,568823,30217262
9/30/2020,Converse,16,1,2,1,1,6,3,1,3,1,0,1,4.93,11411661,225919633,-5380197,231299830,47.15,47.15,1.15,324565169,274529937,50035232,19947633,225919632,221463249,242087913,20624664,3407346,1,10,19136288,8778187,10358101,2201021,935058,1265963,0,852280,13956300,1998439,7577142,0,4380719,973373,3407346,127164633.2,194739101.4,2661434.39,0.542919112,1.841895004,3598199,32500305
