,level_0,Banks name,level_1,LoanPortfolio(net),TotalAssets,TotalLiabilities,TotalCapital,Liabilitiestocustomers(incl.securities),Bonds Attracted,Index,Month,Year
0,2020-06-30,Artsakh,0,0.17511490167464405,0.16202794340208354,0.16475429920506224,0.2732863260849272,0.2016948153628519,0.5606669746723358,-0.19891583310076522,6,2020
1,2020-06-30,ASHB,1,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,1.3310638824508567,6,2020
2,2020-06-30,Byblos,2,0.033414761130045725,0.04175750985046421,0.058030316185790055,0.0,0.09619960073570907,0.41914471709682327,-0.4785330055234838,6,2020
3,2020-06-30,Converse,3,0.3877161610410777,0.3408541920150681,0.34987094924955037,0.34009266152047646,0.45186255657257973,0.24451093359529869,0.095036367388976,6,2020
4,2020-06-30,Econom,4,0.31597467616463415,0.3006570011762615,0.3152000283854765,0.23592481303806123,0.21749531932114521,0.47590138922494013,-0.04775246886808453,6,2020
5,2020-06-30,Evoca,5,0.18305364390984452,0.1621218020492068,0.1819782249641607,0.05331970893205484,0.20555951314715323,0.0,-0.32384342389232423,6,2020
6,2020-06-30,HSBC,6,0.21508669258961058,0.19564728443128276,0.2034256791431059,0.2361410285650789,0.29423487972315265,0.20927237796313053,-0.17758051670161745,6,2020
7,2020-06-30,IDbank,7,0.1351751764173737,0.11850892534827286,0.120144069970165,0.2513813043936006,0.15506588297994153,0.38275802534129827,-0.2948677155295381,6,2020
8,2020-06-30,Ineco,8,0.3899935309774611,0.385030467316928,0.38538137629479935,0.48787440826358064,0.41183988279418837,0.5183073482711538,0.19074027730630094,6,2020
9,2020-06-30,Mellat,9,0.0,0.0,0.0,0.17456400658805948,0.0,0.2768626177767202,-0.5325297115306278,6,2020
10,2020-06-30,Uni,10,0.2515518450843436,0.21876868530180726,0.24059021893396662,0.0748352758106382,0.3019079303687523,0.03748217817876487,-0.20633466424006183,6,2020
11,2020-06-30,VTB,11,0.34610513001114973,0.3419494282674079,0.3482631660359117,0.3757183161830826,0.456834095380895,0.07569636215794967,0.0693022398800087,6,2020
12,2020-09-30,ABB,12,1.0,0.9760993995074024,0.9999999999999998,0.3315577634504365,0.9999999999999999,0.10071860889352703,1.0111240664276553,9,2020
13,2020-09-30,ACBA,13,0.4977609861353021,0.4849594848618771,0.4701698990886311,0.5020327867603878,0.42258692358226474,0.0,0.2460239619526456,9,2020
14,2020-09-30,Ameria,14,0.9950972666475857,0.9999999999999999,0.9600169318581353,1.0,0.8712389309323852,0.320791551866154,1.1797188783701735,9,2020
15,2020-09-30,Ararat,15,0.20594370080247124,0.197488563873966,0.2072827782220526,0.11581973147147229,0.16081246436707733,0.1752094455904099,-0.2668547436331045,9,2020
16,2020-09-30,Armswiss,16,0.1532280551304074,0.3176343696444772,0.2975592801014621,0.4788640467979345,0.29338882574015707,1.0,0.054722462048494055,9,2020
17,2020-09-30,Artsakh,17,0.15792365759366267,0.1477044464558857,0.14531625837592416,0.21810149307067295,0.1658778034553688,0.17008027126997488,-0.2979429508345465,9,2020
18,2020-09-30,ASHB,18,0.953829700080684,0.9661957081167724,0.9500849699864734,0.7386846949072731,0.79819853818232,0.29988253502485573,1.041162118835488,9,2020
19,2020-09-30,Byblos,19,0.033797440090397535,0.03689851948023844,0.050714575950062415,0.0,0.0840167763336215,0.09915467287908437,-0.5285843149173955,9,2020
20,2020-09-30,Converse,20,0.33673656553301257,0.30120220073119097,0.30239068974854283,0.25244498625731504,0.3685900322542314,0.112074722272697,-0.03148731338890793,9,2020
21,2020-09-30,Econom,21,0.28708861498594646,0.2947111667488518,0.3035746432771537,0.17046057540511417,0.18051730903178584,0.1750642661316158,-0.1369115904325193,9,2020
22,2020-09-30,Evoca,22,0.15812280191868458,0.1531916221970638,0.1660422573038549,0.06383708331512333,0.17433251692285426,0.03328562512441963,-0.3471846999228939,9,2020
23,2020-09-30,HSBC,23,0.1968970333240491,0.18709811722676253,0.19087105485573708,0.172962713225441,0.24565283193556603,0.09321801351004257,-0.24382765780249235,9,2020
24,2020-09-30,IDbank,24,0.11596326503628561,0.11997921988196886,0.11936633036045176,0.1869827516589263,0.13293556590198366,0.10413462145893541,-0.36461097250522156,9,2020
25,2020-09-30,Ineco,25,0.32387413077079424,0.36844860375733635,0.36384619815432695,0.34320269755634725,0.345877488767474,0.3329379804772167,0.060301298986085945,9,2020
26,2020-09-30,Mellat,26,0.0,0.0,0.0,0.1250646794617809,0.0,0.11111175247978643,-0.5682472135496753,9,2020
27,2020-09-30,Uni,27,0.21792495990408475,0.1977417052729822,0.2136954494293456,0.05255539243732332,0.2758739666597541,0.024473315730819123,-0.255663424124273,9,2020
28,2020-09-30,VTB,28,0.2937911349691651,0.28940551267783454,0.28870716928736173,0.26639265651207533,0.37930671027928603,0.0336668527786516,-0.06012844301834829,9,2020
29,2020-12-31,ABB,29,0.9092546446711915,0.760179673722646,0.8104240114709361,0.20194011938860496,0.8581706353160161,0.2479262150899273,0.7474629677393162,12,2020
30,2020-12-31,ACBA,30,0.45580331050475836,0.4125764814954756,0.41112350985686874,0.5112009511980979,0.4282229920618236,0.010540093269315251,0.18463775382812095,12,2020
31,2020-12-31,Ameria,31,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,0.22553017192310038,1.2317622770433412,12,2020
32,2020-12-31,Ararat,32,0.19005597713255856,0.16902187821852016,0.1839474871825048,0.10862230597948769,0.1535758547879231,0.12213512639301695,-0.3047286282025339,12,2020
