,Date,Banks name,Yerevan,Lori,Tavush,Syuniq,Ararat,Kotayq,Armavir,Aragatsotn,Shirak,Gegharquniq,Vayots Dzor,NKR,NPL (%)_r,NPL(AMDths),LoanPortfolio(net),Provisions,LoanPortfolio(Gross),Coverageratio,TheimpairmenttotheNPL,CostofCreditRisk,TotalAssets,TotalLiabilities,TotalCapital,"StatutoryCapital
(w/oincomefromemission)",Loans,Liabilitiestocustomers,Liabilitiestocustomers(incl.securities),EmittedSecurities,ProfitAftertax,"ROA
(Annualized)","ROE
(Annualized)",Interestandsimilarincome,Interestandsimilarexpenses,Netinterestincome,Commisssionsreceived,Commisssionspaid,Netcommissions,Dividendsreceived,Netotheroperatingincome,Operatingincome,Netprovisions,Totaladministrativeexpenses,Otherincome/exspenses,Profit/(loss)beforetax,Incometax,Profit/(loss)aftertax,AMD_Assets,FXgroupI_Assets,FXgroupII_Assets,Cost of credit risk,Cost of credit risk_r,Net non-interest,Bonds Attracted
10,2020-06-30,Uni,30.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,23.88,38802688.0,148765949.0,-13751404.0,162517353.0,35.44,35.44,2.69,229961513.0,195675073.0,34286440.0,20489652.0,148765949.0,152455044.0,161771414.0,9316370.0,518437.0,0.0,3.0,9023487.0,4761930.0,4261557.0,1522064.0,298075.0,1223989.0,0.0,-1874208.0,4846733.0,2155094.0,2080075.0,0.0,611564.0,93127.0,518437.0,125805585.0,100400458.0,3755470.0,0.429170536,2.33007608,585176.0,16911734.0
11,2020-06-30,VTB,28.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,7.0,5.0,3.0,0.0,12.34,27587841.0,199230684.0,-24254172.0,223484856.0,87.92,87.92,3.52,320829947.0,270307844.0,50522103.0,63775674.0,199230684.0,241716119.0,241716119.0,0.0,2749468.0,2.0,11.0,17566994.0,6336677.0,11230316.0,1269287.0,694215.0,575072.0,0.0,-1256703.0,11452784.0,3800532.0,4572051.0,0.0,3080200.0,330732.0,2749468.0,220646854.5,96622245.09,3560847.68,0.399208734,2.504955215,222467.0,18593458.0
12,2020-09-30,ABB,31.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,0.0,7.0,2.32,15016835.0,638083909.0,-9054224.0,647138133.0,60.29,60.29,2.49,888674691.0,832490218.0,56184473.0,42090187.0,638083909.0,636087839.0,647273276.0,11185437.0,1521385.0,0.0,4.0,39132274.0,28739230.0,10393044.0,5849507.0,665749.0,5183758.0,0.0,-1348062.0,19522115.0,11417282.0,6199448.0,0.0,1905385.0,384000.0,1521385.0,503268799.0,373907656.0,11498236.0,0.317560264,3.149008593,9129071.0,30493618.0
13,2020-09-30,ACBA,19.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,2.0,0.0,3.56,12027351.0,325983213.0,-11677416.0,337660629.0,97.09,97.09,2.71,478157796.0,408722720.0,69435076.0,30000000.0,325983213.0,274067010.0,276738538.0,2671528.0,2390979.0,1.0,5.0,34173917.0,14991842.0,19182075.0,3461935.0,1339151.0,2122784.0,7974.0,-2923571.0,20027954.0,6550506.0,10147617.0,285537.0,3615368.0,1224389.0,2390979.0,293582769.3,182909189.0,1665838.0,0.506672683,1.973660775,845879.0,12696092.0
14,2020-09-30,Ameria,12.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.14,26960904.0,635037259.0,-16541247.0,651578506.0,61.35,61.35,2.3,908651891.0,800511052.0,108140839.0,37386880.0,635037259.0,495780365.0,564645343.0,68864978.0,6852163.0,1.0,9.0,48934822.0,23565485.0,25369337.0,3742762.0,1072612.0,2670150.0,0.0,-1197180.0,30788161.0,10691966.0,11679586.0,0.0,8416609.0,1564446.0,6852163.0,369775160.0,529600185.0,9276546.0,0.37935314600000003,2.636066184,5418824.0,69381704.0
15,2020-09-30,Ararat,28.0,4.0,4.0,3.0,2.0,5.0,2.0,1.0,6.0,2.0,0.0,1.0,2.81,4166960.0,144642506.0,-3730657.0,148373163.0,89.53,89.53,0.36,237876633.0,198460945.0,39415688.0,8803655.0,144642506.0,94514738.0,108753893.0,14239155.0,2080103.0,1.0,7.0,12927056.0,6678769.0,6248287.0,1289748.0,666769.0,622979.0,0.0,-601102.0,7084075.0,385089.0,4194266.0,0.0,2504720.0,424617.0,2080103.0,112876004.0,124199977.0,800652.0,0.592069677,1.6889903990000001,835788.0,43656554.0
16,2020-09-30,Armswiss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1926251.0,111884020.0,-3979254.0,115863274.0,206.58,206.58,2.58,338299917.0,270665690.0,67634227.0,10000200.0,111884020.0,131288317.0,193830157.0,62541840.0,7105607.0,3.0,15.0,19410268.0,12362778.0,7047490.0,288974.0,76941.0,212033.0,115482.0,-54401.0,12382213.0,2065283.0,1711323.0,0.0,8605607.0,1500000.0,7105607.0,223113449.0,113557815.0,1628653.0,0.13820817,7.235462274,5334723.0,189401531.0
17,2020-09-30,Artsakh,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.53,616058.0,114801955.0,-884411.0,115686366.0,143.56,143.56,-0.46,196264822.0,148899025.0,47365797.0,23261150.0,114801955.0,112004398.0,112004398.0,0.0,5545393.0,4.0,17.0,13356581.0,5947931.0,7408650.0,486950.0,133587.0,353363.0,6041.0,-247326.0,7770736.0,-373864.0,1709207.0,0.0,6435393.0,890000.0,5545393.0,141574206.7,54390801.0,299814.0,0.219954326,4.546398419,362086.0,42750201.0
18,2020-09-30,ASHB,19.0,6.0,4.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,2.0,0.0,4.64,29080171.0,609392823.0,-17219426.0,626612249.0,59.21,59.21,2.41,880396739.0,792567293.0,87829445.0,52227200.0,609392822.0,354609901.0,517774214.0,163164313.0,10479123.0,2.0,17.0,50459987.0,28626730.0,21833257.0,4660324.0,1381118.0,3279206.0,0.0,1485744.0,31852987.0,9976331.0,9456181.0,0.0,12420475.0,1941352.0,10479123.0,429401679.0,447335103.0,3659957.0,0.296869521,3.36848322,10019730.0,65686967.0
19,2020-09-30,Byblos,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,842254.0,37667607.0,-676954.0,38344561.0,80.37,80.37,0.7,103648230.0,73234924.0,30413306.0,26249100.0,37667607.0,59472934.0,59472934.0,0.0,984701.0,1.0,4.0,4815308.0,2798314.0,2016994.0,103499.0,74850.0,28649.0,0.0,-95044.0,2585817.0,191913.0,1126479.0,0.0,1267425.0,282724.0,984701.0,53253070.0,50385945.0,9215.0,0.435637557,2.295486199,568823.0,30217262.0
